"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0~9세","2025년05월_계_10~19세","2025년05월_계_20~29세","2025년05월_계_30~39세","2025년05월_계_40~49세","2025년05월_계_50~59세","2025년05월_계_60~69세","2025년05월_계_70~79세","2025년05월_계_80~89세","2025년05월_계_90~99세","2025년05월_계_100세 이상"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,106","16,106","578","879","2,199","2,346","2,143","2,669","2,630","1,700","871","87","4"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,838","17,838","841","1,783","1,956","2,088","2,535","3,129","3,137","1,542","703","124","0"
"서울특별시 도봉구 방학제1동(1132069000)","27,179","27,179","984","1,987","3,205","3,044","3,548","4,928","4,967","2,964","1,380","166","6"
"서울특별시 도봉구 방학제2동(1132070000)","17,901","17,901","543","1,100","1,929","1,901","2,154","3,379","3,492","2,161","1,115","127","0"
"서울특별시 도봉구 방학제3동(1132071000)","25,621","25,621","1,291","2,476","2,573","2,798","3,519","4,338","4,758","2,503","1,120","236","9"
"서울특별시 노원구 (1135000000)","488,062","488,062","23,649","45,174","63,083","60,639","70,391","85,170","72,723","43,256","20,626","3,255","96"
"서울특별시 노원구 월계1동(1135056000)","20,256","20,256","772","1,470","3,555","2,365","2,621","3,270","3,049","2,091","944","116","3"
"서울특별시 노원구 월계2동(1135057000)","24,997","24,997","1,201","1,856","2,575","2,682","3,557","4,275","4,386","2,970","1,276","212","7"
"서울특별시 노원구 월계3동(1135058000)","28,034","28,034","1,545","1,785","2,926","4,296","3,853","4,454","4,514","3,031","1,408","217","5"
"서울특별시 노원구 공릉1동(1135059500)","35,431","35,431","1,263","2,376","6,574","4,836","4,696","5,386","5,378","3,304","1,429","181","8"
"서울특별시 노원구 공릉2동(1135060000)","41,061","41,061","2,635","4,084","6,761","5,446","6,255","6,463","5,171","2,808","1,250","185","3"
"서울특별시 노원구 하계1동(1135061100)","25,893","25,893","798","2,889","4,581","2,641","2,985","4,643","3,931","2,174","1,051","192","8"
"서울특별시 노원구 하계2동(1135061200)","20,305","20,305","1,083","2,311","2,370","2,396","3,168","3,694","2,941","1,465","749","128","0"
"서울특별시 노원구 중계본동(1135061900)","22,285","22,285","1,044","4,007","2,763","1,632","3,959","4,546","2,601","1,085","543","101","4"
"서울특별시 노원구 중계1동(1135062100)","26,045","26,045","1,599","5,130","2,614","1,804","5,575","4,942","2,576","1,140","576","87","2"
"서울특별시 노원구 중계4동(1135062400)","18,752","18,752","788","1,856","2,148","1,746","2,661","3,608","2,794","1,975","1,014","159","3"
"서울특별시 노원구 중계2.3동(1135062500)","31,663","31,663","1,343","2,446","3,392","3,860","4,358","5,487","4,963","3,547","1,950","312","5"
"서울특별시 노원구 상계1동(1135063000)","36,312","36,312","1,618","2,782","4,264","4,358","4,763","6,535","6,495","3,612","1,638","239","8"
"서울특별시 노원구 상계2동(1135064000)","18,726","18,726","613","1,460","2,685","2,150","2,347","3,648","3,201","1,680","811","127","4"
"서울특별시 노원구 상계3.4동(1135066500)","26,936","26,936","1,288","2,053","2,899","2,762","3,593","4,950","4,713","2,952","1,556","164","6"
"서울특별시 노원구 상계5동(1135067000)","22,370","22,370","684","1,564","2,660","2,540","2,717","4,286","3,947","2,457","1,287","220","8"
"서울특별시 노원구 상계6.7동(1135069500)","30,629","30,629","1,655","2,447","3,767","4,844","4,440","5,376","4,328","2,385","1,137","240","10"
"서울특별시 노원구 상계8동(1135070000)","21,424","21,424","1,771","1,621","2,209","4,776","3,396","3,034","2,343","1,494","659","118","3"
"서울특별시 노원구 상계9동(1135071000)","19,145","19,145","904","1,586","2,241","2,640","2,746","3,494","2,855","1,747","778","149","5"
"서울특별시 노원구 상계10동(1135072000)","17,798","17,798","1,045","1,451","2,099","2,865","2,701","3,079","2,537","1,339","570","108","4"
"서울특별시 은평구 (1138000000)","459,248","459,248","21,233","34,034","58,204","66,701","66,063","77,309","69,071","42,798","20,979","2,785","71"
"서울특별시 은평구 녹번동(1138051000)","35,332","35,332","1,798","2,045","4,166","5,555","5,088","5,746","5,435","3,505","1,755","235","4"
